Pais,Año,Valor
Canada,2023,54220.3285039875
Canada,2024,54282.6176051733
Switzerland,2015,83806.4476003837
Switzerland,2016,82153.0745447889
Switzerland,2017,82254.3770471336
Switzerland,2018,85217.3691512274
Switzerland,2019,84121.9310304414
Switzerland,2020,85897.7843338323
Switzerland,2021,93664.7736696111
Switzerland,2022,94394.5106803525
Switzerland,2023,100631.802755125
Switzerland,2024,103669.872008144
Channel Islands,2015,61852.0735568957
Channel Islands,2016,55950.1482938989
Channel Islands,2017,55806.5708942966
Channel Islands,2018,60783.3529257544
Channel Islands,2019,60568.108347955
Channel Islands,2020,56785.9402005039
Channel Islands,2021,66912.1753241171
Channel Islands,2022,67627.3084478235
Channel Islands,2023,74589.1381155014
Channel Islands,2024,
Chile,2015,13433.9202987032
Chile,2016,13649.8520452803
Chile,2017,14879.9086227187
Chile,2018,15659.4808675628
Chile,2019,14495.716721687
Chile,2020,13114.815470545
Chile,2021,16206.8325493421
Chile,2022,15405.6165774073
Chile,2023,17067.0364799154
Chile,2024,16709.8893972307
China,2015,8175.33285077393
China,2016,8254.86859320357
China,2017,8979.67652709856
China,2018,10085.6638148819
China,2019,10342.9009524335
China,2020,10627.4637989619
China,2021,12887.4357242941
China,2022,12970.6056414327
China,2023,12951.1782397043
China,2024,13303.1481543868
Cote d'Ivoire,2015,1814.71855088017
Cote d'Ivoire,2016,1862.59597081287
Cote d'Ivoire,2017,1964.29930338343
Cote d'Ivoire,2018,2130.86619381144
Cote d'Ivoire,2019,2141.76836170115
Cote d'Ivoire,2020,2179.72934832935
Cote d'Ivoire,2021,2455.98127626488
Cote d'Ivoire,2022,2333.37128334477
Cote d'Ivoire,2023,2554.67304885576
Cote d'Ivoire,2024,2709.89511641252
Cameroon,2015,1415.00009710569
Cameroon,2016,1441.7201725688
Cameroon,2017,1496.08951771242
Cameroon,2018,1610.69641591017
Cameroon,2019,1555.22660476477
Cameroon,2020,1555.60370660749
Cameroon,2021,1672.32657340872
Cameroon,2022,1604.87726954895
Cameroon,2023,1736.86091073524
Cameroon,2024,1762.3683508844
"Congo, Dem. Rep.",2015,467.9145805459
"Congo, Dem. Rep.",2016,442.310472110228
"Congo, Dem. Rep.",2017,436.584534687385
"Congo, Dem. Rep.",2018,528.256019777898
"Congo, Dem. Rep.",2019,557.044161335917
"Congo, Dem. Rep.",2020,507.521230077872
"Congo, Dem. Rep.",2021,558.034077296358
"Congo, Dem. Rep.",2022,642.612267148918
"Congo, Dem. Rep.",2023,633.395661686298
"Congo, Dem. Rep.",2024,647.435704836002
"Congo, Rep.",2015,2439.35189403696
"Congo, Rep.",2016,2093.10728558843
"Congo, Rep.",2017,2211.63309874797
"Congo, Rep.",2018,2694.43413191427
"Congo, Rep.",2019,2488.42466724916
"Congo, Rep.",2020,1993.586671931
"Congo, Rep.",2021,2516.16255145432
"Congo, Rep.",2022,2620.83804304713
"Congo, Rep.",2023,2477.97845477092
"Congo, Rep.",2024,2482.24894743495
Colombia,2015,6248.51490534512
Colombia,2016,5959.84250367574
Colombia,2017,6479.53231292429
Colombia,2018,6816.96818309544
Colombia,2019,6472.54544924705
Colombia,2020,5339.68711357943
Colombia,2021,6222.62164397614
Colombia,2022,6680.44506854481
Colombia,2023,7000.83660501046
Colombia,2024,7913.98801464547
Comoros,2015,1329.3704808998
Comoros,2016,1365.48403353158
Comoros,2017,1423.92480215551
Comoros,2018,1540.71132331975
Comoros,2019,1519.26386326167
Comoros,2020,1527.16990927956
Comoros,2021,1587.72988601478
Comoros,2022,1533.87755332151
Comoros,2023,1682.20285095721
Comoros,2024,1784.11546860293
Cabo Verde,2015,3415.06266730931
Cabo Verde,2016,3608.96605234906
Cabo Verde,2017,3893.09571382506
Cabo Verde,2018,4294.96510035729
Cabo Verde,2019,4380.78117331128
Cabo Verde,2020,3539.22661248299
Cabo Verde,2021,3971.44409203423
Cabo Verde,2022,4323.31362032709
Cabo Verde,2023,4861.29184126229
Cabo Verde,2024,5272.85253011419
Costa Rica,2015,11714.7105980803
Costa Rica,2016,12091.0301606335
Costa Rica,2017,12317.0902771322
Costa Rica,2018,12590.2493781628
Costa Rica,2019,12884.6859951947
Costa Rica,2020,12394.0493969354
Costa Rica,2021,12838.1185359009
Costa Rica,2022,13625.9008491478
Costa Rica,2023,16942.0268119304
Costa Rica,2024,18587.1532203614
Cuba,2015,7727.91997207998
Cuba,2016,8110.55873961397
Cuba,2017,8610.60829531998
Cuba,2018,8911.46205964193
Cuba,2019,9232.26115935183
Cuba,2020,9605.26125067263
Cuba,2021,
Cuba,2022,
Cuba,2023,
Cuba,2024,
Curacao,2015,19361.8130008678
Curacao,2016,18944.0961493998
Curacao,2017,18938.2440469703
Curacao,2018,19119.1243941688
Curacao,2019,19220.6865793075
Curacao,2020,16356.0933254541
Curacao,2021,17979.9982909306
Curacao,2022,20501.7522782219
Curacao,2023,21061.741639092
Curacao,2024,
Cayman Islands,2015,76379.2095108681
Cayman Islands,2016,77802.2541567187
Cayman Islands,2017,80053.9444506891
Cayman Islands,2018,83865.5531568184
Cayman Islands,2019,88254.2903677044
Cayman Islands,2020,82338.7982853661
Cayman Islands,2021,86438.445257404
Cayman Islands,2022,92202.1478031576
Cayman Islands,2023,97749.5078960846
Cayman Islands,2024,
Cyprus,2015,23487.228515625
Cyprus,2016,24715.154296875
Cyprus,2017,26696.990234375
Cyprus,2018,29599.986328125
